Category,Product Name,Size,Bottles Per Carton,Carton Cost Price (RM),Carton Selling Price (RM),Carton Original Price (RM),Bottle Cost Price (RM),Bottle Selling Price (RM),Bottle Original Price (RM)
Whiskey,100 PIPERS SCOTCH WHISKY,1L,12,1010.04,1188,2640.0,84.17,110.0,220.0
Whiskey,ABERFELDY 12Y 40%,1L,12,2709.96,3240,7200.0,225.83,300.0,600.0
Whiskey,ABERFELDY 12Y 40%,700ML,12,2469.96,3024,6720.0,205.83,280.0,560.0
Whiskey,ABERFELDY 16Y 40%,700ML,6,2065.0,2484,5520.0,344.17,460.0,920.0
Whiskey,ABERLOUR 12Y 40% DOUBLE CASK,1L,6,1460.0,1782,3960.0,243.33,330.0,660.0
Vodka,ABSOLUT APEACH 40%,1L,12,975.0,1188,2640.0,81.25,110.0,220.0
Vodka,ABSOLUT APEACH,750ML,12,955.0,1188,2640.0,79.58,110.0,220.0
Vodka,ABSOLUT APPLE 40%,1L,12,975.0,1188,2640.0,81.25,110.0,220.0
Vodka,ABSOLUT BLUE,1.14L,6,630.0,756,1680.0,105.0,140.0,280.0
Vodka,ABSOLUT BLUE 40%,1L,12,970.0,1188,2640.0,80.83,110.0,220.0
Vodka,ABSOLUT BLUE 40%,750ML,12,950.0,1188,2640.0,79.17,110.0,220.0
Vodka,ABSOLUT CITRON 40%,1L,12,975.0,1188,2640.0,81.25,110.0,220.0
Vodka,ABSOLUT CITRON,750ML,12,955.0,1188,2640.0,79.58,110.0,220.0
Vodka,ABSOLUT ELYX 42.3%,1L,6,1055.0,1296,2880.0,175.83,240.0,480.0
Vodka,ABSOLUT GRAPE 40%,1L,12,975.0,1188,2640.0,81.25,110.0,220.0
Vodka,ABSOLUT KURRANT 40%,1L,12,975.0,1188,2640.0,81.25,110.0,220.0
Vodka,ABSOLUT KURRANT,750ML,12,955.0,1188,2640.0,79.58,110.0,220.0
Vodka,ABSOLUT LIME 40%,1L,12,975.0,1188,2640.0,81.25,110.0,220.0
Vodka,ABSOLUT LIME 40%,75CL,12,955.0,1188,2640.0,79.58,110.0,220.0
Vodka,ABSOLUT MANDRIN,1L,12,975.0,1188,2640.0,81.25,110.0,220.0
Vodka,ABSOLUT MANDRIN 40%,750ML,12,955.0,1188,2640.0,79.58,110.0,220.0
